"","WT_1","WT_2","DEL_slyA_1","DEL_slyA_2"
"BW25113_RS13195",408.348787111657,432.890442510528,429.508032236407,419.517813661071
"BW25113_RS13200",99.5972651491845,107.533294636373,78.8674798647497,85.8598634176804
"BW25113_RS13205",74.2452340203012,69.8506871142253,69.2754890703883,76.0783599903497
"BW25113_RS13210",47.9877732082435,34.0062555687676,21.315535098581,16.3025057122178
"BW25113_RS13215",12.6760155644417,10.1099678717958,7.46043728450335,8.69466971318283
"BW25113_RS13220",22.6357420793601,26.653551662007,22.3813118535101,28.2576765678442
"BW25113_RS13225",28.0683201784065,22.0581117202817,17.0524280788648,15.2156719980699
"BW25113_RS13230",28.0683201784065,27.5726396503521,28.7759723830844,15.2156719980699
"BW25113_RS13235",11.7705858812673,18.3817597669014,22.3813118535101,9.78150342733068
"BW25113_RS13240",2.71628904952321,2.75726396503521,5.32888377464525,3.26050114244356
"BW25113_RS13245",8.14886714856964,3.67635195338028,2.1315535098581,1.08683371414785
"BW25113_RS13250",8.14886714856964,10.1099678717958,9.59199079436145,15.2156719980699
"BW25113_RS13255",15.3923046139649,8.27179189510563,11.7235443042196,13.0420045697742
"BW25113_RS13260",4.52714841587202,6.43361591841549,5.32888377464525,4.34733485659141
"BW25113_RS13265",7.24343746539524,13.786319825176,6.3946605295743,7.60783599903497
"BW25113_RS13270",11.7705858812673,9.1908798834507,11.7235443042196,8.69466971318283
"BW25113_RS13275",6.33800778222083,6.43361591841549,10.6577675492905,4.34733485659141
"BW25113_RS13280",12.6760155644417,14.7054078135211,11.7235443042196,11.9551708556264
"BW25113_RS13285",9.95972651491845,5.51452793007042,10.6577675492905,3.26050114244356
"BW25113_RS13290",19.9194530298369,30.3299036153873,41.565293442233,32.6050114244356
"BW25113_RS13295",10.8651561980929,8.27179189510563,13.8550978140777,16.3025057122178
"BW25113_RS13300",196.478241248846,208.632973354331,140.682531650635,165.198724550474
"BW25113_RS13305",20.8248827130113,18.3817597669014,22.3813118535101,19.5630068546614
"BW25113_RS13310",8.14886714856964,9.1908798834507,11.7235443042196,8.69466971318283
"BW25113_RS13315",31.6900389111042,28.4917276386972,22.3813118535101,20.6498405688092
"BW25113_RS13320",29.8791795447554,18.3817597669014,26.6444188732263,18.4761731405135
"BW25113_RS13325",35.3117576438018,34.9253435571127,34.1048561577296,30.4313439961399
"BW25113_RS13330",76.05609338665,93.7469748111971,62.880828540814,64.1231891347233
"BW25113_RS13335",16.2977342971393,14.7054078135211,21.315535098581,16.3025057122178
"BW25113_RS13340",11.7705858812673,7.35270390676056,9.59199079436145,8.69466971318283
"BW25113_RS13345",17.2031639803137,19.3008477552465,10.6577675492905,10.8683371414785
"BW25113_RS13350",19.0140233466625,16.5435837902113,17.0524280788648,18.4761731405135
"BW25113_RS13355",3.62171873269762,4.59543994172535,6.3946605295743,6.52100228488712
"BW25113_RS13360",0.905429683174405,4.59543994172535,2.1315535098581,3.26050114244356
"BW25113_RS13375",10.8651561980929,14.7054078135211,10.6577675492905,7.60783599903497
"BW25113_RS13380",40.7443357428482,26.653551662007,28.7759723830844,29.344510281992
"BW25113_RS13385",23.5411717625345,22.0581117202817,29.8417491380134,39.1260137093227
"BW25113_RS13390",76.05609338665,71.6888630909154,72.4728193351754,73.904692562054
"BW25113_RS13395",52.5149216241155,52.388015335669,47.9599539718073,57.6021868498362
"BW25113_RS13400",69.7180856044292,65.2552471725,70.3412658253173,66.2968565630191
"BW25113_RS13405",166.59906170409,175.545805773908,157.734959729499,154.330387408995
"BW25113_RS13410",47.9877732082435,40.4398714871831,29.8417491380134,30.4313439961399
"BW25113_RS13415",141.247030575207,132.34867032169,90.5910241689693,73.904692562054
"BW25113_RS13420",420.119372992924,457.705818195845,163.063843504145,189.109066261726
"BW25113_RS13425",226.357420793601,260.101900701655,106.577675492905,114.117539985525
"BW25113_RS25695",5.43257809904643,10.1099678717958,14.9208745690067,4.34733485659141
"BW25113_RS13435",12.6760155644417,24.8153756853169,18.1182048337939,20.6498405688092
"BW25113_RS13440",14.4868749307905,15.6244958018662,13.8550978140777,4.34733485659141
"BW25113_RS13445",57.9474997231619,56.0643672890493,63.946605295743,53.2548519932448
"BW25113_RS13455",14.4868749307905,25.734463673662,13.8550978140777,34.7786788527313
"BW25113_RS13460",8.14886714856964,6.43361591841549,14.9208745690067,5.43416857073927
"BW25113_RS13465",191.951092832974,216.904765249436,332.522347537864,315.181777102878
"BW25113_RS13470",21.7303123961857,15.6244958018662,28.7759723830844,23.9103417112528
"BW25113_RS13475",93.2592573669637,64.3361591841549,92.7225776788274,85.8598634176804
"BW25113_RS13485",19.9194530298369,12.867231836831,15.9866513239358,16.3025057122178
"BW25113_RS13490",12.6760155644417,9.1908798834507,7.46043728450335,8.69466971318283
"BW25113_RS13495",143.057889941556,147.973166123556,85.262140394324,88.0335308459761
"BW25113_RS13500",129.47644469394,138.782286240106,134.28787112106,120.638542270412
"BW25113_RS13505",42.555195109197,31.2489916037324,54.3546145013816,47.8206834225055
"BW25113_RS13510",263.480037803752,265.616428631725,319.733026478715,319.529111959469
"BW25113_RS13520",3.62171873269762,7.35270390676056,2.1315535098581,4.34733485659141
"BW25113_RS13525",4234.69462820669,4291.22181758313,5118.92575392423,5420.03973245535
"BW25113_RS13530",9.95972651491845,12.867231836831,9.59199079436145,7.60783599903497
"BW25113_RS13535",12962.1313443248,13116.3046816725,11259.9314158254,11298.7232922811
"BW25113_RS13540",313.278670378344,277.564572480211,1343.94448796553,1357.45530897067
"BW25113_RS13545",33.500898277453,30.3299036153873,28.7759723830844,24.9971754254006
"BW25113_RS13550",52.5149216241155,56.9834552773943,47.9599539718073,46.7338497083577
"BW25113_RS13555",140.341600892033,130.510494345,130.024764101344,149.983052552404
"BW25113_RS13565",656.436520301443,672.772407468591,913.370678974196,942.284830166189
"BW25113_RS25700",0,1.83817597669014,5.32888377464525,5.43416857073927
"BW25113_RS13570",56.1366403568131,84.5560949277464,107.643452247834,102.162369129898
"BW25113_RS13575",47.9877732082435,31.2489916037324,42.631070197162,36.952346281027
"BW25113_RS13580",51.6094919409411,41.3589594755281,56.4861680112397,51.0811845649491
"BW25113_RS13585",5.43257809904643,1.83817597669014,4.2631070197162,1.08683371414785
"BW25113_RS13590",24.4466014457089,23.8962876969718,17.0524280788648,16.3025057122178
"BW25113_RS13595",30.7846092279298,24.8153756853169,24.5128653633682,28.2576765678442
"BW25113_RS13600",12.6760155644417,18.3817597669014,12.7893210591486,16.3025057122178
"BW25113_RS13605",156.639335189172,146.134990146866,247.26020714354,214.106241687127
"BW25113_RS13610",674.545113964932,656.22882367838,781.214361362994,837.948793607995
"BW25113_RS13615",430.984529191017,419.104122685352,505.17818183637,485.81467022409
"BW25113_RS13620",212.775975545985,218.742941226127,244.062876878753,246.711253111563
"BW25113_RS13625",175.653358535835,177.383981750598,181.182048337939,189.109066261726
"BW25113_RS13630",15.3923046139649,25.734463673662,15.9866513239358,15.2156719980699
"BW25113_RS13635",38.9334763764994,33.0871675804225,39.4337399323749,34.7786788527313
"BW25113_RS13640",88.7321089510917,93.7469748111971,173.721611053435,156.504054837291
"BW25113_RS13650",18.1085936634881,17.4626717785563,17.0524280788648,10.8683371414785
"BW25113_RS13655",49.7986325745923,46.8734874055986,34.1048561577296,48.9075171366534
"BW25113_RS13660",76.05609338665,64.3361591841549,50.0915074816654,33.6918451385835
"BW25113_RS13665",5.43257809904643,11.0290558601408,7.46043728450335,15.2156719980699
"BW25113_RS13670",11.7705858812673,10.1099678717958,5.32888377464525,5.43416857073927
"BW25113_RS13675",46.1769138418946,35.8444315454577,47.9599539718073,59.7758542781319
"BW25113_RS23125",1555.52819569363,1576.23590001179,1256.55079406135,1340.0659695443
"BW25113_RS13680",28.0683201784065,33.0871675804225,39.4337399323749,26.0840091395485
"BW25113_RS13685",2.71628904952321,9.1908798834507,6.3946605295743,9.78150342733068
"BW25113_RS13705",64.2855075053827,75.3652150442957,44.7626237070201,55.4285194215405
"BW25113_RS13710",54.3257809904643,54.2261913123591,40.4995166873039,41.2996811376184
"BW25113_RS13720",57.0420700399875,59.7407192424295,69.2754890703883,78.2520274186454
"BW25113_RS13725",19.0140233466625,14.7054078135211,15.9866513239358,17.3893394263657
"BW25113_RS23130",18.1085936634881,10.1099678717958,10.6577675492905,10.8683371414785
"BW25113_RS13845",16.2977342971393,11.0290558601408,15.9866513239358,14.1288382839221
"BW25113_RS13850",21.7303123961857,10.1099678717958,12.7893210591486,17.3893394263657
"BW25113_RS13855",19.9194530298369,24.8153756853169,18.1182048337939,21.7366742829571
"BW25113_RS13860",25.3520311288833,27.5726396503521,17.0524280788648,16.3025057122178
"BW25113_RS13865",11.7705858812673,11.0290558601408,12.7893210591486,16.3025057122178
