"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BW25113_RS14455",1189.53731467647,0.436718850480283,0.0694247333359352,6.29053695268904,3.16369725933653e-10,5.8459623270349e-09
"BW25113_RS21345",238.148422757435,0.943758363905004,0.151312362370182,6.23715305955056,4.45605946823585e-10,8.16303997413895e-09
"BW25113_RS14980",98.302442749444,-1.50838380972334,0.242225438865134,-6.22718991362084,4.74875362701078e-10,8.62487304051103e-09
"BW25113_RS22810",150.238830344556,-1.17938154279473,0.189866751186752,-6.21162755154902,5.24385998686738e-10,9.44339192550269e-09
"BW25113_RS21680",214.188971394531,0.980015045694383,0.157916932300855,6.20588958647773,5.43883555005502e-10,9.71220633938396e-09
"BW25113_RS15550",427.088964572412,-0.688513334567509,0.111712944483293,-6.16323683662712,7.12727834795784e-10,1.26212220745087e-08
"BW25113_RS19410",882.119327965304,0.477043800298462,0.0784236246158919,6.08290936098602,1.18021074418595e-09,2.07268415817781e-08
"BW25113_RS06400",271.39985518723,-0.873313010562729,0.144474744432664,-6.04474514900254,1.49646355033506e-09,2.60654511841148e-08
"BW25113_RS11310",111.935815373472,1.33840921092316,0.223717762699302,5.98257909776305,2.19631793675856e-09,3.79445172000972e-08
"BW25113_RS08595",28.7738999012082,-3.83556649986876,0.645233655538167,-5.94446130784924,2.7736747319182e-09,4.75327323010176e-08
"BW25113_RS13565",796.216109227605,0.481334011542802,0.082016608654937,5.8687382889469,4.39123944001171e-09,7.4651070480199e-08
"BW25113_RS17620",149.339661529063,1.09323728734045,0.186629314001667,5.85780049178494,4.69037633421106e-09,7.91035691285596e-08
"BW25113_RS17105",329.490047732,0.719433533355154,0.123686777002404,5.81657595735693,6.00652554864108e-09,1.00502888117026e-07
"BW25113_RS17700",276.815064885131,-0.789419645646765,0.13712384788449,-5.75698288682616,8.56305878508309e-09,1.42160155611731e-07
"BW25113_RS17125",1058.68223295961,0.414670542458393,0.0724569942012123,5.72298847102128,1.04666370477935e-08,1.72415532764041e-07
"BW25113_RS20375",126.724833595296,-1.21058962444195,0.21181160537424,-5.71540743625929,1.0944148193804e-08,1.78894730091027e-07
"BW25113_RS03415",124.645577062536,1.18532030165657,0.208479229490549,5.68555584435478,1.30387867386529e-08,2.11507036791125e-07
"BW25113_RS03425",131.601927808246,1.16325291258784,0.205294242257273,5.66627149304101,1.45938229250246e-08,2.3493843723998e-07
"BW25113_RS05630",42.4395051751897,2.16128985831703,0.383802266625149,5.63125871382075,1.78899128787062e-08,2.85835074189854e-07
"BW25113_RS17115",1058.97109149574,0.428849178407804,0.076869293733811,5.57894001072595,2.41988671816345e-08,3.8375069224607e-07
"BW25113_RS11510",215.202760932494,-0.885285726589912,0.158782584242823,-5.57545861097754,2.46878601210349e-08,3.88605205608883e-07
"BW25113_RS08965",514.706039262172,0.544462594833026,0.0999006500957552,5.45004055840634,5.03583344207623e-08,7.86848975324411e-07
"BW25113_RS05215",70.1996916194359,-1.56340252200108,0.288333130526217,-5.42220909247515,5.88669664058952e-08,9.13082508120637e-07
"BW25113_RS17130",613.125243118288,0.519204420799142,0.0967725605493948,5.36520288242377,8.08582802617437e-08,1.24510033011743e-06
"BW25113_RS14075",200.820933856519,-0.877937626975588,0.163961017852144,-5.35455096873876,8.5769142457803e-08,1.3112189044808e-06
"BW25113_RS21840",342.895911920959,0.651860718585271,0.123254674391228,5.28873019871174,1.23168409886093e-07,1.86952050719963e-06
"BW25113_RS21580",221.191331474188,-0.81353421011159,0.154115448361906,-5.27873239677559,1.30080612604698e-07,1.9604347644325e-06
"BW25113_RS19405",410.144649142658,0.592899030551971,0.11310233229534,5.24214681094067,1.58719002444075e-07,2.37519633939196e-06
"BW25113_RS21835",288.032658955946,0.716404003197608,0.136744971502455,5.23897877432917,1.61467606345929e-07,2.39943121318251e-06
"BW25113_RS06405",195.084026979964,-0.847952563851479,0.162718369070422,-5.21116680738421,1.876566270249e-07,2.76923841963829e-06
"BW25113_RS06235",61.0247305042747,1.58115347802681,0.303992400200916,5.20129278554921,1.97907041627313e-07,2.900361816952e-06
"BW25113_RS05620",30.0792596984653,2.40189435210712,0.46544384433304,5.16043853915165,2.46372037122096e-07,3.56150053662894e-06
"BW25113_RS20670",1361.14015332908,0.331323022673601,0.0641944697245772,5.16123934187983,2.45320292888153e-07,3.56150053662894e-06
"BW25113_RS16430",980.177703970317,0.385083041537662,0.0746438748278701,5.15893691780698,2.48355964304385e-07,3.5659217847758e-06
"BW25113_RS16480",285.210827226252,0.682979487656645,0.133203345654033,5.12734484485498,2.93856974850045e-07,4.19091323192178e-06
"BW25113_RS22015",348.440379338659,-0.63287071343377,0.123497228657841,-5.12457421362215,2.98210874514478e-07,4.22465405562177e-06
"BW25113_RS21690",279.6756538948,0.686004348428149,0.133922674513444,5.12239134202241,3.01684947194331e-07,4.245566309854e-06
"BW25113_RS09885",29.8280387276843,2.38432561774839,0.470040960463074,5.07259115333141,3.92435048974295e-07,5.48634525704195e-06
"BW25113_RS17445",314.956518092886,0.634744873960432,0.125755401824906,5.04745613110293,4.47731532465147e-07,6.21849350646037e-06
"BW25113_RS05625",49.3210482851235,1.6952499689239,0.341118652948485,4.96967830480943,6.70640747160508e-07,9.25397134880571e-06
