Geneid	WT_1	WT_2	DEL_slyA_1	DEL_slyA_2
BW25113_RS23240	2	2	4	3
BW25113_RS01250	3	5	2	2
BW25113_RS01255	14	12	7	13
BW25113_RS01260	4	5	4	4
BW25113_RS01265	8	6	13	7
BW25113_RS25425	1	3	5	5
BW25113_RS25430	0	1	2	0
BW25113_RS01280	4	2	2	0
BW25113_RS01285	7	1	3	2
BW25113_RS01290	1	4	1	0
BW25113_RS01300	13	15	7	5
BW25113_RS01325	0	0	0	1
BW25113_RS01330	2	1	2	1
BW25113_RS01335	8	18	10	10
BW25113_RS01340	4	0	0	0
BW25113_RS01350	0	0	1	1
BW25113_RS01365	3	1	2	1
BW25113_RS01370	0	0	1	1
BW25113_RS01375	41	37	21	28
BW25113_RS01380	44	56	24	22
BW25113_RS01385	2	1	1	1
BW25113_RS01390	2	6	4	6
BW25113_RS01395	2	4	6	7
BW25113_RS01400	16	15	7	14
BW25113_RS26055	0	0	0	0
BW25113_RS01405	4	0	1	1
BW25113_RS01410	2	4	7	2
BW25113_RS01415	2	1	1	4
BW25113_RS01420	0	0	2	3
BW25113_RS01425	0	0	1	0
BW25113_RS01430	1	0	0	0
BW25113_RS01435	2	4	2	1
BW25113_RS01440	10	7	9	11
BW25113_RS01455	19	8	13	17
BW25113_RS01460	17	22	17	14
BW25113_RS01465	9	9	8	8
BW25113_RS01470	10	11	9	7
BW25113_RS01475	12	12	16	6
BW25113_RS01480	8	5	5	6
BW25113_RS01485	6	11	4	9
BW25113_RS01490	26	22	19	21
BW25113_RS01495	31	27	26	20
BW25113_RS01500	5	6	6	10
BW25113_RS01505	10	8	5	8
BW25113_RS01510	3	5	3	3
BW25113_RS01515	4	3	0	1
BW25113_RS01520	1	1	0	2
BW25113_RS01525	6	5	1	1
BW25113_RS26450	2	2	0	1
BW25113_RS01545	4	0	1	0
BW25113_RS01555	5	6	5	5
BW25113_RS01560	2	2	1	1
BW25113_RS01565	22	16	17	13
BW25113_RS01570	7	8	3	8
BW25113_RS01575	30	24	7	14
BW25113_RS01580	67	61	30	32
BW25113_RS01585	40	34	11	22
BW25113_RS01595	5	7	5	5
BW25113_RS01600	40	36	32	40
BW25113_RS01605	59	83	68	60
BW25113_RS01610	39	40	33	32
BW25113_RS01615	122	106	68	91
BW25113_RS25450	1	2	1	3
BW25113_RS01625	22	21	19	20
BW25113_RS01630	13	18	11	11
BW25113_RS01635	1	5	6	6
BW25113_RS01640	3	6	6	2
BW25113_RS01645	6	9	9	10
BW25113_RS01650	18	12	15	15
BW25113_RS01655	6	13	18	8
BW25113_RS01660	3	7	4	2
BW25113_RS01665	15	10	7	5
BW25113_RS01670	19	19	18	15
BW25113_RS01675	22	23	18	11
BW25113_RS01680	5	11	11	6
BW25113_RS01685	6	5	3	5
BW25113_RS01690	18	8	21	10
BW25113_RS01695	9	8	7	4
