Geneid	WT_1	WT_2	DEL_slyA_1	DEL_slyA_2
BW25113_RS08185	0	3	3	4
BW25113_RS08190	5	2	4	0
BW25113_RS08195	9	8	7	7
BW25113_RS08200	3	2	3	2
BW25113_RS08205	6	7	2	2
BW25113_RS23835	0	0	0	0
BW25113_RS08210	2	5	4	1
BW25113_RS23105	0	1	0	0
BW25113_RS08220	1	4	0	2
BW25113_RS08225	6	12	3	6
BW25113_RS08230	3	4	1	1
BW25113_RS26365	0	1	0	3
BW25113_RS08235	0	0	2	1
BW25113_RS08245	3	0	1	0
BW25113_RS08250	3	3	2	0
BW25113_RS08270	6	10	10	6
BW25113_RS08275	12	12	12	7
BW25113_RS08280	4	4	4	1
BW25113_RS08285	23	23	19	27
BW25113_RS08290	28	18	19	11
BW25113_RS08295	17	16	14	11
BW25113_RS08300	8	9	8	5
BW25113_RS08305	140	122	156	150
BW25113_RS08310	139	134	144	151
BW25113_RS08315	22	28	32	27
BW25113_RS08320	35	36	57	57
BW25113_RS08325	9	21	24	28
BW25113_RS08330	27	26	12	22
BW25113_RS08335	20	29	22	15
BW25113_RS08340	39	32	40	29
BW25113_RS08345	9	9	6	10
BW25113_RS08350	16	16	8	9
BW25113_RS26520	2	0	1	0
BW25113_RS08355	0	5	4	4
BW25113_RS08360	2	1	1	0
BW25113_RS08365	14	20	20	16
BW25113_RS08370	16	9	4	8
BW25113_RS08375	18	27	13	12
BW25113_RS26525	8	6	5	8
BW25113_RS08380	13	16	8	11
BW25113_RS08385	86	76	63	67
BW25113_RS08390	98	85	99	88
BW25113_RS08395	71	57	65	49
BW25113_RS08400	17	17	15	14
BW25113_RS08405	14	10	12	17
BW25113_RS08410	4	4	3	2
BW25113_RS08415	12	20	23	19
BW25113_RS08420	27	18	21	24
BW25113_RS08425	13	13	13	10
BW25113_RS08430	63	76	38	40
BW25113_RS08435	226	236	142	122
BW25113_RS08440	32	35	43	35
BW25113_RS08445	215	193	128	117
BW25113_RS08450	12	12	9	8
BW25113_RS08455	13	14	8	6
BW25113_RS08460	34	33	33	15
BW25113_RS08465	28	34	35	31
BW25113_RS08470	34	24	23	29
BW25113_RS08475	35	27	14	27
BW25113_RS08480	29	36	13	27
BW25113_RS08485	26	28	25	30
BW25113_RS08490	27	16	19	27
BW25113_RS08495	21	25	26	30
BW25113_RS08500	3	3	1	7
BW25113_RS08505	2	4	1	5
BW25113_RS08510	11	10	10	8
BW25113_RS08515	8	10	10	4
BW25113_RS08520	10	10	13	9
BW25113_RS08525	35	38	36	27
BW25113_RS08530	17	14	11	10
BW25113_RS08535	18	9	7	5
BW25113_RS08540	11	9	10	9
BW25113_RS08545	6	9	3	6
BW25113_RS08555	33	33	55	43
BW25113_RS08560	24	12	14	7
BW25113_RS08565	45	41	35	36
BW25113_RS08570	138	145	121	117
BW25113_RS08575	35	24	41	22
BW25113_RS08580	9	9	3	5
BW25113_RS08585	27	31	49	44
BW25113_RS08590	114	126	124	88
BW25113_RS08595	66	52	3	4
BW25113_RS08600	5	3	5	15
BW25113_RS08605	22	19	43	33
BW25113_RS08610	25	24	43	43
BW25113_RS08615	21	18	7	9
BW25113_RS08620	42	43	27	31
BW25113_RS08625	4	1	4	2
BW25113_RS08630	13	9	9	8
BW25113_RS08635	36	38	19	29
BW25113_RS08640	22	36	21	18
BW25113_RS08645	17	13	7	13
BW25113_RS08650	56	55	43	36
BW25113_RS08655	57	39	32	36
BW25113_RS08660	15	11	15	8
BW25113_RS08665	515	505	404	341
BW25113_RS08670	34	31	36	28
BW25113_RS08675	2	3	3	3
BW25113_RS08680	68	51	38	36
BW25113_RS08685	6	8	8	13
BW25113_RS08690	32	36	21	21
BW25113_RS08695	38	39	67	83
BW25113_RS08700	30	37	28	22
BW25113_RS08705	45	32	36	34
BW25113_RS08710	64	65	73	61
BW25113_RS08715	0	2	1	0
BW25113_RS08720	10	10	7	5
BW25113_RS08725	33	27	30	32
BW25113_RS08730	22	22	22	18
BW25113_RS08735	14	21	13	16
BW25113_RS08740	16	24	12	13
BW25113_RS08745	23	21	20	16
BW25113_RS08750	24	29	15	20
BW25113_RS08755	66	55	50	49
BW25113_RS08760	21	20	23	18
BW25113_RS08765	5	4	1	6
BW25113_RS26160	14	14	12	18
BW25113_RS08770	251	240	301	233
BW25113_RS08775	368	412	286	270
BW25113_RS08780	47	41	25	24
BW25113_RS08785	11	6	7	4
BW25113_RS08790	21	31	19	12
BW25113_RS08795	15	15	15	14
BW25113_RS08800	14	13	7	5
BW25113_RS08805	22	28	11	8
BW25113_RS08810	4	8	2	0
BW25113_RS08815	5	6	6	5
BW25113_RS08820	8	7	10	10
BW25113_RS08825	84	75	62	61
BW25113_RS08830	17	25	17	19
BW25113_RS23110	0	4	1	0
BW25113_RS08835	2	2	2	2
BW25113_RS08840	13	8	8	6
BW25113_RS08845	3	15	5	11
BW25113_RS08850	7	6	7	5
BW25113_RS08855	9	9	19	6
BW25113_RS08860	6	10	13	10
BW25113_RS08865	7	8	10	11
BW25113_RS08870	3	5	7	3
BW25113_RS08880	11	6	11	13
BW25113_RS08885	3	6	4	5
BW25113_RS08890	7	12	8	7
BW25113_RS08895	1	6	2	1
BW25113_RS08900	9	16	10	10
BW25113_RS08905	108	112	63	72
BW25113_RS08915	8	8	11	12
BW25113_RS08920	16	16	12	15
BW25113_RS08925	5	4	5	3
BW25113_RS08930	48	54	26	31
BW25113_RS08935	19	21	19	13
BW25113_RS08940	8	11	18	13
BW25113_RS08945	20	15	22	11
BW25113_RS08950	8	11	12	9
BW25113_RS08955	30	18	22	21
BW25113_RS08960	109	101	103	87
BW25113_RS08965	457	461	580	555
BW25113_RS08970	155	155	172	198
BW25113_RS25645	4	3	5	3
BW25113_RS08980	434	442	448	390
BW25113_RS08985	329	394	373	366
BW25113_RS08990	1083	1077	1012	972
BW25113_RS08995	1602	1594	1425	1315
BW25113_RS09005	2	4	1	0
BW25113_RS09010	10	17	3	12
BW25113_RS09015	35	26	17	24
BW25113_RS09020	12	20	13	14
BW25113_RS09025	80	66	47	51
BW25113_RS09030	9	10	14	8
BW25113_RS09035	12	11	11	14
BW25113_RS09040	7	7	13	7
BW25113_RS09045	17	30	30	28
BW25113_RS09050	3	3	3	3
BW25113_RS09055	3	6	1	0
BW25113_RS09060	25	36	18	29
BW25113_RS09065	26	31	13	15
BW25113_RS09070	35	38	18	22
BW25113_RS09075	18	29	22	15
BW25113_RS09080	18	18	8	15
BW25113_RS09085	43	44	19	23
BW25113_RS09090	17	13	10	11
BW25113_RS09095	19	14	12	9
BW25113_RS09100	54	62	55	47
BW25113_RS09110	14	16	12	15
BW25113_RS09115	4	4	10	5
BW25113_RS09120	9	21	14	17
BW25113_RS09125	10	10	3	6
BW25113_RS09130	20	15	9	7
BW25113_RS09135	14	6	6	6
BW25113_RS09140	15	15	13	15
BW25113_RS09145	30	19	16	17
BW25113_RS09150	37	37	31	31
BW25113_RS09155	16	14	7	16
BW25113_RS09160	27	21	17	14
BW25113_RS09165	32	14	10	11
BW25113_RS09170	16	19	9	5
BW25113_RS09175	41	42	27	22
BW25113_RS09180	24	33	27	32
BW25113_RS09185	16	8	9	18
BW25113_RS09190	81	87	56	56
BW25113_RS09195	7	5	7	1
BW25113_RS09200	5	3	1	5
BW25113_RS09205	3	3	3	2
BW25113_RS09210	37	30	51	58
BW25113_RS09215	18	14	9	16
BW25113_RS09220	129	115	81	68
BW25113_RS09225	131	144	101	98
BW25113_RS09235	43	42	40	43
BW25113_RS09245	39	36	41	31
BW25113_RS09250	17	14	26	19
BW25113_RS09255	15	10	13	11
BW25113_RS09260	9	8	19	7
BW25113_RS09265	13	10	11	5
BW25113_RS09270	14	14	8	14
BW25113_RS09275	5	8	7	10
BW25113_RS09280	9	12	16	7
BW25113_RS09285	7	7	16	7
BW25113_RS09290	19	11	11	13
BW25113_RS09295	11	15	15	17
BW25113_RS09300	45	39	44	30
BW25113_RS09305	53	56	46	57
BW25113_RS09310	1793	1727	2181	2098
BW25113_RS09315	47	41	43	42
BW25113_RS09320	32	23	23	23
BW25113_RS09325	85	83	94	74
BW25113_RS09330	104	97	41	47
BW25113_RS09335	44	34	12	19
BW25113_RS09340	8	14	10	13
BW25113_RS09345	24	33	27	20
BW25113_RS09350	13	6	9	8
BW25113_RS09355	4	2	5	0
BW25113_RS09360	14	5	7	8
BW25113_RS09365	7	13	7	5
BW25113_RS09370	13	14	7	12
BW25113_RS09375	3	9	9	10
BW25113_RS09380	1	4	3	4
BW25113_RS09385	22	23	23	24
BW25113_RS09390	0	0	5	2
BW25113_RS25115	1	0	0	2
BW25113_RS09395	10	10	6	2
BW25113_RS09400	2	1	4	4
BW25113_RS09405	4	3	4	2
BW25113_RS09410	14	9	9	6
BW25113_RS09415	13	18	19	8
BW25113_RS09420	12	5	11	6
BW25113_RS09430	18	10	10	7
BW25113_RS09435	7	9	9	6
BW25113_RS09440	37	32	28	27
BW25113_RS09445	72	64	55	45
BW25113_RS09450	45	55	16	14
BW25113_RS09455	20	21	16	20
BW25113_RS09460	45	47	28	32
BW25113_RS09465	18	10	15	18
BW25113_RS09470	6	9	3	6
BW25113_RS09475	3	5	6	8
BW25113_RS09480	19	21	20	11
BW25113_RS09485	9	8	6	4
BW25113_RS09490	119	105	132	138
BW25113_RS09495	21	15	16	10
BW25113_RS09500	46	50	24	28
BW25113_RS26370	6	7	2	7
BW25113_RS09510	897	808	439	435
BW25113_RS09515	687	706	367	345
BW25113_RS09520	633	632	297	305
BW25113_RS09525	11	11	10	8
BW25113_RS09535	14	9	8	13
BW25113_RS09540	29	25	19	21
BW25113_RS09545	59	66	57	56
BW25113_RS09550	60	80	78	62
BW25113_RS09560	13	17	7	13
BW25113_RS09565	6	9	4	7
BW25113_RS09570	10	5	4	7
BW25113_RS09575	24	25	14	17
BW25113_RS09580	13	8	18	12
BW25113_RS09585	124	113	99	106
BW25113_RS09590	182	157	120	108
BW25113_RS09595	130	134	106	92
BW25113_RS09600	34	18	33	24
BW25113_RS09605	20	19	20	11
BW25113_RS09610	39	48	43	26
BW25113_RS09615	20	22	12	10
BW25113_RS09620	5	9	4	8
BW25113_RS09625	2	2	1	1
BW25113_RS09630	6	7	6	8
BW25113_RS09640	25	21	24	23
BW25113_RS09645	48	34	45	30
BW25113_RS09650	16	21	12	27
BW25113_RS09655	11	4	9	4
BW25113_RS09660	12	6	10	8
BW25113_RS09665	13	7	8	10
BW25113_RS09670	36	38	27	35
BW25113_RS09675	39	35	31	29
BW25113_RS09685	36	29	22	23
BW25113_RS09690	36	39	26	31
BW25113_RS09695	24	24	8	10
BW25113_RS09700	40	49	41	36
BW25113_RS09705	56	63	73	60
BW25113_RS09710	188	159	176	182
BW25113_RS09720	28	44	30	27
BW25113_RS09725	456	423	374	357
BW25113_RS09730	50	33	50	36
BW25113_RS09735	146	127	151	153
BW25113_RS09740	111	142	129	116
BW25113_RS09745	31	31	15	15
BW25113_RS09750	7	18	17	14
BW25113_RS09755	23	20	26	29
BW25113_RS09760	14	15	18	17
BW25113_RS25125	0	0	0	0
BW25113_RS09765	5	8	3	5
BW25113_RS09770	42	36	41	19
BW25113_RS09775	86	89	64	59
BW25113_RS09780	74	68	55	64
BW25113_RS09785	250	254	214	215
BW25113_RS09790	10	11	15	13
BW25113_RS09795	11	11	11	16
BW25113_RS09800	7	8	3	7
BW25113_RS09805	13	19	6	18
BW25113_RS09810	20	14	15	12
BW25113_RS09815	38	31	27	16
BW25113_RS09820	9	14	11	9
BW25113_RS09825	19	32	10	17
BW25113_RS09830	15	17	6	5
BW25113_RS09835	68	73	46	59
BW25113_RS26165	0	0	0	0
BW25113_RS09840	5	4	7	3
BW25113_RS09845	1	4	5	6
BW25113_RS09850	27	18	27	25
BW25113_RS09855	6	10	14	10
BW25113_RS09860	10	7	15	11
BW25113_RS09865	4	7	10	14
BW25113_RS09870	10	7	13	9
BW25113_RS09875	6	6	14	17
BW25113_RS09880	15	16	20	25
BW25113_RS09885	7	14	46	47
BW25113_RS09890	9	7	7	8
BW25113_RS09895	21	21	60	49
BW25113_RS09900	7	16	35	24
BW25113_RS09905	10	10	27	26
BW25113_RS09910	11	11	12	21
BW25113_RS09915	12	3	12	13
BW25113_RS09920	8	7	7	3
BW25113_RS09925	35	34	18	25
BW25113_RS09930	22	13	10	8
BW25113_RS09935	13	12	9	12
BW25113_RS09940	13	16	19	22
BW25113_RS09945	16	16	12	17
BW25113_RS09950	35	25	17	26
BW25113_RS09955	10	10	12	8
BW25113_RS25130	4	3	4	4
BW25113_RS09965	0	7	1	0
BW25113_RS09970	84	77	63	59
BW25113_RS09975	12	8	5	11
BW25113_RS09980	23	15	14	24
BW25113_RS09985	86	75	70	87
BW25113_RS09990	8	6	6	0
BW25113_RS09995	4	5	3	4
BW25113_RS10000	12	12	3	9
BW25113_RS10005	8	15	14	12
BW25113_RS10010	98	97	74	55
BW25113_RS10015	41	45	29	31
BW25113_RS25650	2	0	0	2
BW25113_RS10025	4	2	0	3
BW25113_RS10030	15	11	24	30
BW25113_RS10035	8	11	5	7
BW25113_RS10040	7	9	5	8
BW25113_RS10045	21	18	20	19
BW25113_RS10050	23	23	23	26
BW25113_RS10055	2	2	12	8
BW25113_RS10060	2	0	15	23
BW25113_RS10065	41	34	315	295
BW25113_RS10070	4	7	22	14
BW25113_RS10075	1	1	5	4
BW25113_RS10080	1	0	2	1
BW25113_RS10085	11	20	14	8
BW25113_RS10090	10	11	8	6
BW25113_RS10095	52	62	39	31
BW25113_RS10100	14	8	14	11
BW25113_RS10105	5	3	2	2
BW25113_RS10110	1	0	1	0
BW25113_RS10130	0	0	0	0
BW25113_RS10135	1	4	21	24
BW25113_RS10140	2	4	21	20
BW25113_RS10145	2	0	16	9
BW25113_RS10150	3	4	33	26
BW25113_RS10155	2	0	6	11
BW25113_RS10160	6	2	25	25
BW25113_RS10165	1	1	11	12
BW25113_RS10170	1	4	18	17
BW25113_RS10175	2	1	7	7
BW25113_RS10180	0	1	3	5
BW25113_RS10185	1	3	6	9
BW25113_RS10190	1	1	1	1
BW25113_RS10195	0	1	5	6
BW25113_RS10200	0	1	0	1
BW25113_RS10205	1	6	2	5
BW25113_RS10210	5	5	1	2
BW25113_RS10215	2	9	2	2
BW25113_RS10220	22	14	15	18
BW25113_RS10225	10	13	14	10
BW25113_RS10230	32	31	21	26
BW25113_RS10235	8	3	6	3
BW25113_RS10240	5	6	5	1
BW25113_RS10245	18	17	14	7
BW25113_RS10250	12	5	6	7
BW25113_RS10255	1	2	0	0
BW25113_RS10275	8	9	6	6
BW25113_RS10280	17	14	15	6
BW25113_RS10285	6	8	15	8
BW25113_RS10290	3	5	2	4
BW25113_RS10295	12	17	12	11
BW25113_RS10300	12	8	7	9
BW25113_RS10305	9	14	11	17
BW25113_RS10310	5	11	5	6
BW25113_RS10320	5	3	8	5
BW25113_RS10325	33	32	27	25
BW25113_RS10330	4	0	4	1
BW25113_RS10335	86	100	74	88
BW25113_RS10345	26	27	32	42
BW25113_RS10350	45	44	42	50
BW25113_RS10355	32	42	42	34
BW25113_RS10360	0	3	2	0
BW25113_RS10365	11	15	14	12
BW25113_RS10370	1	1	0	0
BW25113_RS10375	24	17	13	19
BW25113_RS10380	13	10	9	6
BW25113_RS10385	3	0	1	0
BW25113_RS10390	23	25	12	20
BW25113_RS10395	40	35	28	16
BW25113_RS10400	22	13	16	20
BW25113_RS10405	8	19	15	19
BW25113_RS10415	5	2	2	1
BW25113_RS10425	3	2	2	5
BW25113_RS10445	17	25	241	224
BW25113_RS10450	1	3	12	15
BW25113_RS25165	1	2	0	1
BW25113_RS10460	1	1	1	0
BW25113_RS10465	0	1	1	0
BW25113_RS10470	1	1	2	0
BW25113_RS10475	1	4	0	1
BW25113_RS10485	9	5	11	9
BW25113_RS10490	50	57	67	71
BW25113_RS10495	16	28	22	17
BW25113_RS10500	20	19	19	13
BW25113_RS10505	19	16	17	23
BW25113_RS10510	31	38	24	21
BW25113_RS10515	3	2	4	0
BW25113_RS10520	4	13	9	14
BW25113_RS10525	74	52	44	36
BW25113_RS25670	5	2	2	3
BW25113_RS10530	21	28	22	25
BW25113_RS10535	36	34	49	45
BW25113_RS10540	0	2	6	3
BW25113_RS10545	6	7	6	3
BW25113_RS24020	1	0	3	1
BW25113_RS10550	31	31	54	46
BW25113_RS10555	37	33	52	60
BW25113_RS10560	23	25	41	33
BW25113_RS10565	28	25	36	36
BW25113_RS10570	19	17	19	19
BW25113_RS10575	18	18	20	17
BW25113_RS10580	21	15	25	17
BW25113_RS10585	32	30	32	30
BW25113_RS10590	119	103	98	103
BW25113_RS10595	17	20	12	18
BW25113_RS10600	321	286	320	264
BW25113_RS10605	6	3	3	3
BW25113_RS10615	8	21	25	21
BW25113_RS10620	15	23	16	9
BW25113_RS10625	25	21	30	32
BW25113_RS10630	28	25	26	26
BW25113_RS10635	36	50	48	48
BW25113_RS10640	38	44	46	40
BW25113_RS10645	22	16	19	16
BW25113_RS10650	47	47	26	39
BW25113_RS10655	72	55	43	38
BW25113_RS10660	75	79	69	53
BW25113_RS10665	57	67	69	82
BW25113_RS10670	9	7	9	10
BW25113_RS10675	9	7	6	9
BW25113_RS10680	7	7	9	14
BW25113_RS10685	6	9	7	13
BW25113_RS10690	8	8	13	16
BW25113_RS10695	12	22	14	14
BW25113_RS10700	18	13	7	6
BW25113_RS10705	4	10	13	7
BW25113_RS10710	1	4	2	1
BW25113_RS10715	8	7	9	7
BW25113_RS10720	6	3	5	5
BW25113_RS10725	5	3	2	6
BW25113_RS10730	3	7	4	8
BW25113_RS10735	14	12	11	5
BW25113_RS10740	13	11	8	8
BW25113_RS10745	4	4	2	2
BW25113_RS10750	3	9	7	8
BW25113_RS10755	17	25	15	15
BW25113_RS10760	2	2	4	4
BW25113_RS10765	6	8	15	7
BW25113_RS10770	43	38	41	31
BW25113_RS10775	78	98	63	80
BW25113_RS10780	48	49	40	27
BW25113_RS10785	21	17	19	13
BW25113_RS10790	45	43	35	21
BW25113_RS10795	6	10	12	1
BW25113_RS10805	20	14	16	13
BW25113_RS10810	8	10	10	11
BW25113_RS10815	0	0	0	0
BW25113_RS10820	3	2	0	1
BW25113_RS10825	6	11	5	1
BW25113_RS25170	2	3	0	0
BW25113_RS25675	6	3	7	5
BW25113_RS10830	15	12	15	11
BW25113_RS10835	28	38	22	37
BW25113_RS10840	36	33	25	28
BW25113_RS10845	15	21	12	8
BW25113_RS10850	11	11	5	11
BW25113_RS10855	16	6	5	12
BW25113_RS10860	8	1	7	2
BW25113_RS10865	41	32	32	43
BW25113_RS24060	2	3	1	0
BW25113_RS10880	3	7	5	0
BW25113_RS10885	28	21	12	8
BW25113_RS10900	48	49	29	41
BW25113_RS10910	1240	1218	830	803
BW25113_RS10915	3572	3600	2691	2710
BW25113_RS10920	831	802	718	678
BW25113_RS10925	1231	1175	976	913
BW25113_RS10930	4751	4801	3668	3557
BW25113_RS10935	2566	2374	1901	1838
BW25113_RS10940	35	36	24	16
BW25113_RS10945	16	16	12	9
BW25113_RS10950	17	15	12	10
BW25113_RS10955	14	13	10	12
BW25113_RS10960	10	13	14	12
BW25113_RS10965	13	4	7	8
BW25113_RS10970	12	11	13	12
BW25113_RS10975	22	22	10	18
BW25113_RS10980	3	6	6	8
BW25113_RS10985	6	7	7	5
BW25113_RS10990	4	0	1	2
BW25113_RS10995	1	3	1	1
BW25113_RS11000	4	5	2	5
BW25113_RS11005	2	1	0	1
BW25113_RS11010	10	7	7	12
BW25113_RS11020	3	3	3	0
BW25113_RS11025	156	170	151	134
BW25113_RS11030	111	115	98	84
BW25113_RS11045	28	33	20	24
BW25113_RS11050	3	2	2	0
BW25113_RS11055	7	9	10	9
BW25113_RS11060	25	21	12	18
BW25113_RS11065	8	10	9	8
BW25113_RS11075	10	6	7	7
BW25113_RS11080	23	26	14	13
BW25113_RS11085	34	39	15	20
BW25113_RS11090	52	51	39	29
BW25113_RS11095	12	12	9	7
BW25113_RS11100	0	2	0	1
BW25113_RS11105	11	7	4	5
BW25113_RS11110	10	12	6	4
BW25113_RS11115	12	7	13	12
BW25113_RS11120	21	18	7	12
BW25113_RS11125	51	55	44	46
BW25113_RS11130	213	196	182	159
BW25113_RS11135	15	19	12	21
BW25113_RS11140	6	10	5	9
BW25113_RS11145	13	10	15	11
BW25113_RS11150	6	14	12	11
BW25113_RS11160	0	0	0	1
BW25113_RS11165	7	16	16	9
BW25113_RS11170	4	8	11	6
BW25113_RS11175	7	11	14	25
BW25113_RS11180	40	42	51	59
BW25113_RS11185	10	11	9	11
BW25113_RS11190	3	3	6	2
BW25113_RS11195	278	248	134	141
BW25113_RS11200	263	263	105	100
BW25113_RS11205	54	61	25	27
BW25113_RS11210	112	88	43	61
BW25113_RS11215	269	265	199	216
BW25113_RS11220	35	35	21	20
BW25113_RS11230	21	20	19	21
BW25113_RS11235	27	17	34	31
BW25113_RS11245	59	57	38	38
BW25113_RS11250	26	22	26	26
BW25113_RS11255	35	34	30	28
BW25113_RS11260	20	24	19	23
BW25113_RS11265	22	14	14	14
BW25113_RS11270	27	36	15	25
BW25113_RS11275	28	40	28	30
BW25113_RS11280	4	6	6	6
BW25113_RS11285	8	12	5	5
BW25113_RS11290	2	3	6	6
BW25113_RS11295	14	13	15	11
BW25113_RS11300	7	8	5	7
BW25113_RS11305	14	13	9	11
BW25113_RS11310	61	78	145	153
BW25113_RS11315	38	38	82	68
BW25113_RS11320	42	34	65	66
BW25113_RS11325	21	17	14	11
BW25113_RS11330	12	2	5	10
BW25113_RS11335	21	19	18	12
BW25113_RS11340	51	51	31	25
BW25113_RS11345	10	19	19	17
BW25113_RS11350	8	3	5	15
BW25113_RS11355	78	62	67	55
BW25113_RS11360	49	29	43	32
BW25113_RS11365	15	21	22	15
BW25113_RS11370	12	10	11	7
BW25113_RS11375	21	13	16	15
BW25113_RS11380	67	89	65	50
BW25113_RS11385	43	46	43	34
BW25113_RS11390	47	41	32	28
BW25113_RS11395	35	39	33	29
BW25113_RS11400	26	30	23	20
BW25113_RS11405	104	95	64	69
BW25113_RS11410	61	65	86	41
BW25113_RS11415	14	12	14	14
BW25113_RS11420	71	50	55	57
BW25113_RS11425	0	2	2	1
BW25113_RS11435	0	0	0	1
BW25113_RS11445	31	28	24	28
BW25113_RS11450	49	61	43	44
BW25113_RS11455	35	27	17	20
BW25113_RS11460	91	74	56	57
BW25113_RS11465	19	23	16	9
BW25113_RS11470	1	7	3	3
BW25113_RS11475	23	26	20	24
BW25113_RS11480	26	25	17	20
BW25113_RS11485	82	82	61	63
BW25113_RS11490	112	100	60	74
BW25113_RS11495	64	77	57	39
BW25113_RS11500	73	57	50	35
BW25113_RS11505	58	70	36	31
BW25113_RS11510	288	324	149	132
BW25113_RS11515	12	10	4	4
BW25113_RS11520	32	25	10	8
BW25113_RS25870	0	3	2	1
BW25113_RS11530	53	57	43	43
BW25113_RS11535	79	66	105	119
BW25113_RS11540	27	22	27	21
BW25113_RS11545	8	5	8	7
BW25113_RS11550	20	27	23	34
BW25113_RS11555	23	26	30	34
BW25113_RS11560	5858	5695	3030	3025
BW25113_RS11575	117	131	114	109
BW25113_RS11580	129	119	117	101
BW25113_RS11585	73	71	63	53
BW25113_RS11590	27	30	22	18
BW25113_RS11595	31	34	18	11
BW25113_RS11600	9	11	5	3
BW25113_RS11605	3	7	7	7
BW25113_RS11610	12	13	9	8
BW25113_RS11615	13	9	15	5
BW25113_RS11620	6	9	4	3
BW25113_RS11625	26	14	14	19
BW25113_RS11640	12	4	7	1
BW25113_RS11645	23	20	20	12
BW25113_RS11650	493	487	439	427
BW25113_RS11655	9	18	12	13
BW25113_RS11660	50	43	53	47
BW25113_RS26375	1	4	7	1
BW25113_RS11670	52	61	58	54
BW25113_RS11675	38	39	37	37
BW25113_RS11680	12	11	8	4
BW25113_RS11685	61	82	39	35
BW25113_RS11695	1271	1246	539	589
BW25113_RS11700	1446	1431	613	557
BW25113_RS11705	317	292	95	104
BW25113_RS11710	516	525	137	136
BW25113_RS11715	498	478	114	134
BW25113_RS11720	37	34	16	17
BW25113_RS11730	14	17	9	4
BW25113_RS11735	10	11	6	10
BW25113_RS11740	9	16	17	12
BW25113_RS11745	9	8	9	8
BW25113_RS11750	28	31	31	32
BW25113_RS11755	5	6	10	6
BW25113_RS11760	11	6	6	5
BW25113_RS11765	7	7	4	6
BW25113_RS11770	18	16	12	9
BW25113_RS11775	11	12	12	11
BW25113_RS11780	21	22	22	22
BW25113_RS11785	9	14	6	10
BW25113_RS11790	13	13	14	17
BW25113_RS11795	1	3	5	3
BW25113_RS11800	6	6	11	4
BW25113_RS11805	10	9	6	8
BW25113_RS11810	52	52	47	42
BW25113_RS11815	72	73	78	68
BW25113_RS11820	82	69	63	80
BW25113_RS11825	46	37	24	32
BW25113_RS11830	104	94	84	71
BW25113_RS11835	53	45	27	24
BW25113_RS11840	21	19	10	8
BW25113_RS11845	19	24	18	25
BW25113_RS11850	17	21	15	8
BW25113_RS11855	4	5	8	7
BW25113_RS11860	2	0	2	1
BW25113_RS11865	1	5	2	5
BW25113_RS11870	4	4	1	7
BW25113_RS11875	0	1	0	1
BW25113_RS11880	4	0	0	2
BW25113_RS11885	4	5	4	5
BW25113_RS11890	200	180	187	180
BW25113_RS11895	206	213	179	192
BW25113_RS11900	330	360	322	303
BW25113_RS11905	70	46	48	63
BW25113_RS11910	108	104	107	108
BW25113_RS11915	149	140	109	108
BW25113_RS11920	165	219	162	180
BW25113_RS11925	543	540	424	471
BW25113_RS11930	294	284	233	212
BW25113_RS11935	127	97	92	86
BW25113_RS11940	467	482	362	338
BW25113_RS11945	163	164	160	169
BW25113_RS11950	127	121	114	108
BW25113_RS11955	46	32	39	20
BW25113_RS11960	29	37	36	30
BW25113_RS11965	18	12	7	7
BW25113_RS11970	70	65	52	58
BW25113_RS11975	33	28	42	36
BW25113_RS11980	26	21	26	37
BW25113_RS11985	23	17	14	20
BW25113_RS11995	213	211	236	237
BW25113_RS12000	378	368	428	405
BW25113_RS12005	20	29	34	36
BW25113_RS12010	16	22	24	16
BW25113_RS12015	17	26	19	26
BW25113_RS12020	9	10	8	10
BW25113_RS12025	14	8	5	3
BW25113_RS12030	18	8	8	10
BW25113_RS12035	45	29	35	33
BW25113_RS12040	9	14	11	6
BW25113_RS12045	10	14	13	10
BW25113_RS12050	10	7	6	8
BW25113_RS12055	11	14	8	4
BW25113_RS12060	27	36	35	30
BW25113_RS12065	43	33	40	33
BW25113_RS12070	11	7	11	9
BW25113_RS12075	41	45	12	21
BW25113_RS12080	15	18	6	3
BW25113_RS12085	24	31	28	22
BW25113_RS12090	41	39	39	28
BW25113_RS12095	97	109	98	85
BW25113_RS12100	26	33	46	31
BW25113_RS12105	36	30	43	30
BW25113_RS12110	63	45	44	48
BW25113_RS12115	39	44	38	39
BW25113_RS12120	27	23	16	24
BW25113_RS12125	16	22	16	14
BW25113_RS12130	470	471	365	379
BW25113_RS12135	58	40	33	39
BW25113_RS12140	7	11	8	6
BW25113_RS12145	20	14	17	18
BW25113_RS12150	13	23	15	22
BW25113_RS12155	26	18	24	23
BW25113_RS12160	46	46	34	36
BW25113_RS12165	44	55	49	38
BW25113_RS12170	22	13	11	27
BW25113_RS12175	15	12	19	14
BW25113_RS12180	0	0	0	0
BW25113_RS12185	1	1	0	0
BW25113_RS12190	1	0	0	0
BW25113_RS12195	5	7	3	1
BW25113_RS12205	9	5	5	3
BW25113_RS12210	58	48	18	29
BW25113_RS12215	128	143	63	70
BW25113_RS12220	107	104	71	56
BW25113_RS12225	47	34	25	32
BW25113_RS12230	126	149	134	126
BW25113_RS12235	6	5	8	10
BW25113_RS12240	38	33	27	36
BW25113_RS12245	12	10	15	9
BW25113_RS12250	2	1	4	0
